Precinct,County,Registered Voters,Gator Rivers (Rep)_Election Day Votes,Gator Rivers (Rep)_Advanced Voting Votes,Gator Rivers (Rep)_Absentee by Mail Votes,Gator Rivers (Rep)_Provisional Votes,Gator Rivers (Rep)_Choice Total,Tony B. Riley (Dem)_Election Day Votes,Tony B. Riley (Dem)_Advanced Voting Votes,Tony B. Riley (Dem)_Absentee by Mail Votes,Tony B. Riley (Dem)_Provisional Votes,Tony B. Riley (Dem)_Choice Total,Total,
2-02C Blackshear Community Center1714,Chatham,67,92,59,1,219,0,0,0,0,0,219,,
2-03C W W Law Center,Chatham,1609,62,66,36,1,165,0,0,0,0,0,165,
2-04C Fellowship of Love Church3178,Chatham,120,85,83,0,288,0,0,0,0,0,288,,
2-05C Holy Spirit Lutheran Church2079,Chatham,72,91,41,0,204,0,0,0,0,0,204,,
2-07C Christ Community Church 2808,Chatham,134,113,72,0,319,0,0,0,0,0,319,,
2-09C Salvation Army,Chatham,3342,126,144,77,0,347,0,0,0,0,0,347,
2-11C Stillwell Towers,Chatham,1900,88,73,49,0,210,0,0,0,0,0,210,
2-12C Williams Court Apts,Chatham,1683,66,70,37,0,173,0,0,0,0,0,173,
3-02C Temple Mickve Israel,Chatham,1598,48,67,24,2,141,0,0,0,0,0,141,
3-03C Savannah High School,Chatham,1185,13,15,9,0,37,0,0,0,0,0,37,
3-08C Jenkins High School,Chatham,1210,95,106,58,0,259,0,0,0,0,0,259,
3-09C Cokesbury Methodist,Chatham,664,168,82,58,1,309,0,0,0,0,0,309,
3-10C Bible Baptist Church,Chatham,2640,61,50,28,0,139,0,0,0,0,0,139,
8-02C Hellenic Center,Chatham,1709,82,85,52,0,219,0,0,0,0,0,219,
8-05C W Broad St YMCA,Chatham,1543,8,3,6,0,17,0,0,0,0,0,17,
8-06C Tompkins Rec Center,Chatham,1055,5,1,1,1,8,0,0,0,0,0,8,
