Precinct,County,Registered Voters,Victor Hill (I) (Dem)_Election Day Votes,Victor Hill (I) (Dem)_Advanced Voting Votes,Victor Hill (I) (Dem)_Absentee by Mail Votes,Victor Hill (I) (Dem)_Provisional Votes,Victor Hill (I) (Dem)_Choice Total,Total,
Ellenwood 1,Clayton,3020,212,1123,613,5,1953,1953,
Ellenwood 2,Clayton,3273,246,1267,562,3,2078,2078,
Forest Park 1,Clayton,3566,388,487,335,10,1220,1220,
Forest Park 2,Clayton,2821,299,535,350,7,1191,1191,
Forest Park 3,Clayton,2845,243,472,339,16,1070,1070,
Forest Park 4,Clayton,1783,174,410,187,0,771,771,
Forest Park 5,Clayton,3924,390,738,372,15,1515,1515,
Forest Park 6,Clayton,1463,114,342,141,3,600,600,
Jonesboro 1,Clayton,3244,273,921,570,5,1769,1769,
Jonesboro 2,Clayton,4345,339,1207,698,10,2254,2254,
Jonesboro 3,Clayton,4107,268,1222,753,7,2250,2250,
Jonesboro 4,Clayton,2574,202,520,263,5,990,990,
Jonesboro 5,Clayton,2064,251,546,296,0,1093,1093,
Jonesboro 6,Clayton,2574,166,703,534,3,1406,1406,
Jonesboro 7,Clayton,3174,265,910,470,5,1650,1650,
Jonesboro 8,Clayton,3947,415,953,344,4,1716,1716,
Jonesboro 9,Clayton,1759,145,316,184,3,648,648,
Jonesboro 10,Clayton,3398,310,660,383,5,1358,1358,
Jonesboro 11,Clayton,3863,261,1164,688,2,2115,2115,
Jonesboro 12,Clayton,3067,284,799,395,11,1489,1489,
Jonesboro 13,Clayton,2140,245,674,355,3,1277,1277,
Jonesboro 14,Clayton,4116,270,1270,752,4,2296,2296,
Jonesboro 15,Clayton,2872,233,635,246,5,1119,1119,
Jonesboro 16,Clayton,2560,279,532,336,1,1148,1148,
Jonesboro 17,Clayton,3359,273,738,460,9,1480,1480,
Jonesboro 18,Clayton,3301,323,913,428,6,1670,1670,
Jonesboro 19,Clayton,3299,276,852,476,8,1612,1612,
Lake City,Clayton,3217,244,794,359,8,1405,1405,
Lovejoy 1,Clayton,4061,308,1364,590,1,2263,2263,
Lovejoy 2,Clayton,3611,230,1059,447,9,1745,1745,
Lovejoy 3,Clayton,1666,117,605,347,2,1071,1071,
Lovejoy 4,Clayton,4149,280,1514,608,4,2406,2406,
Lovejoy 5,Clayton,3451,280,970,463,14,1727,1727,
Lovejoy 6,Clayton,3708,269,1219,578,8,2074,2074,
Lovejoy 7,Clayton,2779,236,803,219,4,1262,1262,
Morrow 1,Clayton,3328,377,726,351,2,1456,1456,
Morrow 2,Clayton,2081,128,507,269,2,906,906,
Morrow 3,Clayton,2407,171,621,359,3,1154,1154,
Morrow 4,Clayton,2112,197,480,258,3,938,938,
Morrow 5,Clayton,3056,262,1032,547,2,1843,1843,
Morrow 6,Clayton,3030,276,904,414,6,1600,1600,
Morrow 7,Clayton,2142,252,438,245,4,939,939,
Morrow 8,Clayton,3185,258,1084,512,8,1862,1862,
Morrow 9,Clayton,1509,121,389,207,0,717,717,
Morrow 10,Clayton,2342,156,809,259,3,1227,1227,
Morrow 11,Clayton,2295,224,649,279,2,1154,1154,
Oak 1,Clayton,2635,296,689,264,2,1251,1251,
Oak 2,Clayton,1974,222,393,202,9,826,826,
Oak 3,Clayton,2731,280,618,335,3,1236,1236,
Oak 4,Clayton,4233,405,1062,457,7,1931,1931,
Oak 5,Clayton,1795,164,376,74,3,617,617,
Panhandle 1,Clayton,2895,236,1033,541,2,1812,1812,
Panhandle 2,Clayton,3382,297,1204,497,4,2002,2002,
Riverdale 1,Clayton,2330,169,779,415,7,1370,1370,
Riverdale 2,Clayton,3431,281,866,521,24,1692,1692,
Riverdale 3,Clayton,3650,327,1026,568,6,1927,1927,
Riverdale 4,Clayton,4362,383,927,627,7,1944,1944,
Riverdale 5,Clayton,2970,284,788,419,9,1500,1500,
Riverdale 6,Clayton,3661,342,626,360,8,1336,1336,
Riverdale 7,Clayton,3020,275,521,309,11,1116,1116,
Riverdale 8,Clayton,2895,221,879,570,5,1675,1675,
Riverdale 9,Clayton,2653,256,684,375,6,1321,1321,
Riverdale 10,Clayton,3176,290,622,259,8,1179,1179,
Riverdale 11,Clayton,1881,162,590,304,1,1057,1057,
Riverdale 12,Clayton,3065,281,864,505,2,1652,1652,
